Bike_id,Publish_period,End_Date,Departure_Date,Distance_travelled,Color,Country_Sold,N_Photos,Price,N_Inquires,is_sold
XL3-1222792,7,1404172800000000000,1407801600000000000,123628,Blue,Laos,34,52000,18,1.0
XL3-1524865,7,1404259200000000000,1406592000000000000,52531,Red,Cambodia,32,98000,2,1.0
XL3-1054883,15,1404172800000000000,1407801600000000000,69067,Blue,Laos,30,96000,3,0.0
XL3-1054883,1,1404259200000000000,1407801600000000000,69067,Blue,Laos,30,69000,3,1.0
XL3-1027839,1,1403222400000000000,1406678400000000000,93120,Silver,Myanmar,30,93000,53,0.0
XL3-1027839,12,1404259200000000000,1406678400000000000,93120,Silver,Myanmar,30,78000,53,1.0
XL3-1000998,1,1402704000000000000,1406678400000000000,59959,Silver,Laos,30,93000,12,0.0
XL3-1000998,18,1404259200000000000,1406678400000000000,59959,Silver,Laos,30,59000,12,1.0
XL3-1060514,16,1403827200000000000,1407974400000000000,59574,Red,Laos,44,93000,14,0.0
XL3-1060514,5,1404259200000000000,1407974400000000000,59574,Red,Laos,44,71000,14,1.0
XL3-1114953,8,1403136000000000000,1407974400000000000,40384,Red,Indonesia,30,116000,15,0.0
XL3-1114953,14,1404345600000000000,1407974400000000000,40384,Red,Indonesia,30,81000,15,1.0
XL3-1017053,8,1403827200000000000,1408147200000000000,70395,Silver,Laos,31,93000,5,0.0
XL3-1017053,7,1404432000000000000,1408147200000000000,70395,Silver,Laos,31,76000,5,1.0
XL3-1022938,3,1403740800000000000,1407283200000000000,115908,Pearl,Laos,30,95000,4,0.0
XL3-1022938,8,1404432000000000000,1407283200000000000,115908,Pearl,Laos,30,78000,4,1.0
XL3-1562182,14,1404259200000000000,1407974400000000000,78703,Red,Laos,37,100000,4,0.0
XL3-1562182,2,1404432000000000000,1407974400000000000,78703,Red,Laos,37,73000,4,1.0
XL3-1034564,7,1403568000000000000,1409961600000000000,69132,Red,Philippines,30,95000,7,0.0
XL3-1034564,11,1404518400000000000,1409961600000000000,69132,Red,Philippines,30,80000,7,1.0
XL3-1047793,8,1404432000000000000,1406678400000000000,75898,Blue,Laos,31,95000,10,0.0
XL3-1047793,1,1404518400000000000,1406678400000000000,75898,Blue,Laos,31,78000,10,1.0
XL3-1110934,7,1403740800000000000,1407369600000000000,90456,Blue,Laos,30,94000,11,0.0
XL3-1110934,9,1404518400000000000,1407369600000000000,90456,Blue,Laos,30,77000,11,1.0
XL3-1013265,12,1404000000000000000,1408147200000000000,112631,Black,Laos,30,96000,5,0.0
XL3-1013265,8,1404691200000000000,1408147200000000000,112631,Black,Laos,30,69000,5,1.0
XL3-1503888,4,1403913600000000000,1408147200000000000,110957,Blue,Laos,30,91000,4,0.0
XL3-1503888,9,1404691200000000000,1408147200000000000,110957,Blue,Laos,30,74000,4,1.0
XL3-1185531,3,1403568000000000000,1409961600000000000,100784,Red,Philippines,27,91000,3,0.0
XL3-1185531,13,1404691200000000000,1409961600000000000,100784,Red,Philippines,27,74000,3,1.0
XL3-1001062,5,1403740800000000000,1409961600000000000,88565,Red,Philippines,29,93000,2,0.0
XL3-1001062,11,1404691200000000000,1409961600000000000,88565,Red,Philippines,29,76000,2,1.0
XL3-1059261,1,1403395200000000000,1409961600000000000,73510,Red,Philippines,32,93000,1,0.0
XL3-1059261,15,1404691200000000000,1409961600000000000,73510,Red,Philippines,32,76000,1,1.0
XL3-1043631,14,1404518400000000000,1409961600000000000,133232,Blue,Philippines,30,92000,1,0.0
XL3-1043631,2,1404691200000000000,1409961600000000000,133232,Blue,Philippines,30,87000,1,1.0
XL3-1041648,14,1404259200000000000,1407801600000000000,94900,White,Laos,33,98000,9,0.0
XL3-1041648,6,1404777600000000000,1407801600000000000,94900,White,Laos,33,64000,9,1.0
XL3-1506612,20,1404604800000000000,1409443200000000000,87108,Red,Laos,37,94000,3,0.0
XL3-1506612,2,1404777600000000000,1409443200000000000,87108,Red,Laos,37,62000,3,1.0
XL3-1017473,28,1403049600000000000,1410134400000000000,15619,Pink,Laos,31,120000,26,0.0
XL3-1017473,20,1404777600000000000,1410134400000000000,15619,Pink,Laos,31,73000,26,1.0
XL3-1202607,4,1402617600000000000,1408492800000000000,57385,Silver,Laos,31,100000,29,0.0
XL3-1202607,25,1404777600000000000,1408492800000000000,57385,Silver,Laos,31,63000,29,1.0
XL3-1072154,14,1404691200000000000,1408147200000000000,55789,Pink,Cambodia,30,104000,8,0.0
XL3-1072154,1,1404777600000000000,1408147200000000000,55789,Pink,Cambodia,30,87000,8,1.0
XL3-1146125,11,1404259200000000000,1407801600000000000,13900,Blue,Laos,31,118000,5,0.0
XL3-1146125,7,1404864000000000000,1407801600000000000,13900,Blue,Laos,31,101000,5,1.0
XL3-1054868,5,1404000000000000000,1409961600000000000,65962,Silver,Philippines,31,93000,6,0.0
XL3-1054868,10,1404864000000000000,1409961600000000000,65962,Silver,Philippines,31,88000,6,1.0
XL3-1138716,24,1404777600000000000,1407974400000000000,45275,White,Laos,32,118000,23,0.0
XL3-1138716,1,1404864000000000000,1407974400000000000,45275,White,Laos,32,84000,23,1.0
XL3-1001526,1,1403136000000000000,1407974400000000000,89340,Red,Laos,31,98000,9,0.0
XL3-1001526,20,1404864000000000000,1407974400000000000,89340,Red,Laos,31,56000,9,1.0
XL3-1040028,18,1404777600000000000,1407974400000000000,57390,Blue,Laos,30,101000,5,0.0
XL3-1040028,1,1404864000000000000,1407974400000000000,57390,Blue,Laos,30,74000,5,1.0
XL3-1011469,24,1404604800000000000,1407974400000000000,125191,Pearl,Laos,30,109000,5,0.0
XL3-1011469,3,1404864000000000000,1407974400000000000,125191,Pearl,Laos,30,72000,5,1.0
XL3-1114558,1,1402099200000000000,1409702400000000000,99398,Blue,Laos,33,100000,36,0.0
XL3-1114558,33,1404950400000000000,1409702400000000000,99398,Blue,Laos,33,61000,36,1.0
XL3-1017833,17,1404172800000000000,1408406400000000000,50558,Pearl,Cambodia,30,110000,14,0.0
XL3-1017833,9,1404950400000000000,1408406400000000000,50558,Pearl,Cambodia,30,83000,14,1.0
XL3-1110587,13,1403308800000000000,1410220800000000000,43505,Yellow,Vietnam,34,118000,5,0.0
XL3-1110587,19,1404950400000000000,1410220800000000000,43505,Yellow,Vietnam,34,66000,5,1.0
XL3-1047130,10,1404518400000000000,1408320000000000000,63191,Blue,Laos,30,94000,7,0.0
XL3-1047130,6,1405036800000000000,1408320000000000000,63191,Blue,Laos,30,67000,7,1.0
XL3-1076474,0,1404172800000000000,1407801600000000000,65992,Green,Laos,32,94000,5,0.0
